,name,rating,review,pros,cons
0,TCS,3.6,(96.9k),"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1,Accenture,3.8,(62.4k),"Promotions / Appraisal, Salary & Benefits",
2,Wipro,3.7,(56.7k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Cognizant,3.7,(53.9k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4,Capgemini,3.7,(45.5k),"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,HDFC Bank,3.9,(42.9k),"Job Security, Skill Development / Learning",Promotions / Appraisal
6,Infosys,3.6,(42.4k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,ICICI Bank,4.0,(41.5k),"Job Security, Skill Development / Learning, Company Culture",
8,HCLTech,3.5,(39.1k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,3.5,(37.7k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
10,Genpact,3.8,(35.3k),"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
11,Teleperformance,3.9,(32k),"Company Culture, Work Life Balance, Job Security",
12,Concentrix Corporation,3.7,(28.2k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
13,Axis Bank,3.7,(27.8k),"Promotions / Appraisal, Work Satisfaction",
14,Amazon,4.0,(26.9k),"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
15,Jio,4.0,(25.2k),"Job Security, Skill Development / Learning, Company Culture",
16,iEnergizer,4.7,(24.3k),"Company Culture, Job Security, Skill Development / Learning",
17,Reliance Retail,3.9,(23.9k),"Skill Development / Learning, Job Security",Promotions / Appraisal
18,IBM,4.0,(23.3k),"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
19,LTIMindtree,3.7,(22.5k),"Promotions / Appraisal, Salary & Benefits",
20,HDB Financial Services,3.9,(22k),"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
21,Larsen & Toubro Limited,3.9,(20k),"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
22,Deloitte,3.8,(19.3k),"Job Security, Skill Development / Learning","Work Life Balance, Promotions / Appraisal, Work Satisfaction"
23,Kotak Mahindra Bank,3.7,(18.8k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
24,Reliance Industries,4.0,(17.3k),"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
25,BYJU'S,3.1,(16.3k),"Job Security, Company Culture, Work Life Balance",
26,Vodafone Idea,4.0,(16.1k),"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
27,Bharti Airtel,3.9,(14.9k),Skill Development / Learning,Promotions / Appraisal
28,WNS,3.3,(12.9k),"Promotions / Appraisal, Salary & Benefits, Company Culture",
29,Tata Motors,4.2,(12.8k),"Job Security, Company Culture, Work Life Balance",
30,AU Small Finance Bank,4.2,(12.3k),"Job Security, Skill Development / Learning, Company Culture",
31,IndusInd Bank,3.5,(11.9k),"Promotions / Appraisal, Company Culture, Work Satisfaction",
32,Ernst & Young,3.4,(11.8k),"Work Life Balance, Promotions / Appraisal, Company Culture",
33,IDFC FIRST Bank,3.9,(11.4k),Salary & Benefits,
34,Flipkart,3.9,(11.3k),Skill Development / Learning,Promotions / Appraisal
35,DXC Technology,3.7,(10.7k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
36,Infosys BPM,3.6,(10.5k),Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
37,Mahindra & Mahindra,4.1,(10.4k),"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
38,Bajaj Finserv,4.0,(10.2k),"Salary & Benefits, Skill Development / Learning, Job Security",
39,PwC,3.4,(10.2k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
40,HDFC Life,3.9,(10.1k),"Skill Development / Learning, Company Culture, Work Life Balance",
41,Conneqt Business Solutions,3.6,(9.3k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
42,Mphasis,3.3,(9k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
43,Bandhan Bank,3.7,(8.5k),Job Security,"Promotions / Appraisal, Work Satisfaction"
44,Yes Bank,3.7,(8.5k),"Work Satisfaction, Job Security, Promotions / Appraisal",
45,Tata Steel,4.0,(8.3k),"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
46,Startek,3.1,(8.2k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
47,Quess,3.8,(8k),"Promotions / Appraisal, Job Security",
48,Asian Paints,4.0,(8k),"Salary & Benefits, Skill Development / Learning, Job Security","Work Life Balance, Promotions / Appraisal"
49,Paytm,3.2,(8k),"Job Security, Company Culture, Promotions / Appraisal",
50,UltraTech Cement,4.2,(7.8k),"Job Security, Skill Development / Learning, Company Culture",
51,Maruti Suzuki,4.2,(7.7k),"Job Security, Salary & Benefits, Skill Development / Learning",
52,Samsung,3.9,(7.7k),Salary & Benefits,Promotions / Appraisal
53,Shriram Finance,4.0,(7.6k),"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
54,Ericsson,4.1,(7.5k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
55,EXL Service,3.7,(7.6k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
56,Muthoot Fincorp,4.5,(7.5k),"Company Culture, Work Life Balance, Job Security",
57,Sutherland Global Services,3.5,(7.6k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
58,Bajaj Finance,4.0,(7.5k),"Salary & Benefits, Skill Development / Learning, Job Security",
59,Cipla,4.1,(7.4k),"Skill Development / Learning, Salary & Benefits, Company Culture",
60,Dr. Reddy's,4.0,(7.2k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
61,HGS,3.8,(7.1k),"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
62,Wells Fargo,3.8,(7k),"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
63,Amazon Development Centre India,4.0,(6.8k),"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
64,ICICI Prudential Life Insurance,4.0,(6.8k),"Job Security, Skill Development / Learning, Salary & Benefits",
65,JPMorgan Chase & Co.,3.9,(6.7k),"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
66,Jana Small Finance Bank,3.8,(6.6k),Promotions / Appraisal,
67,Optum Global Solutions,4.0,(6.7k),"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
68,Delhivery,3.8,(6.6k),Promotions / Appraisal,
69,Hexaware Technologies,3.5,(6.5k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
70,Lupin,4.1,(6.5k),"Company Culture, Skill Development / Learning, Work Life Balance",
71,L&T Construction,4.0,(6.5k),"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
72,JSW Steel,3.9,(6.4k),"Job Security, Skill Development / Learning",Promotions / Appraisal
73,Zydus Lifesciences,4.1,(6.4k),"Salary & Benefits, Skill Development / Learning, Company Culture",
74,Hindustan Unilever,4.2,(6.4k),"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
75,Equitas Small Finance Bank,4.4,(6.3k),"Company Culture, Work Life Balance, Job Security",
76,Sun Pharmaceutical Industries,4.0,(6.2k),"Salary & Benefits, Job Security, Skill Development / Learning",
77,ITC,3.9,(6.1k),"Job Security, Skill Development / Learning",Promotions / Appraisal
78,KPMG India,3.5,(6.1k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
79,Ujjivan Small Finance Bank,4.1,(5.9k),"Company Culture, Work Life Balance, Job Security",
80,Ekart Logistics,3.9,(5.9k),Skill Development / Learning,Promotions / Appraisal
81,Axis Max Life Insurance,4.1,(5.9k),"Company Culture, Skill Development / Learning, Work Life Balance",
